appid,name,price_usd,players_now,reviews
10,Counter-Strike,9.99,9366,162621.0
20,Team Fortress Classic,4.99,29,6672.0
30,Day of Defeat,4.99,76,4328.0
40,Deathmatch Classic,4.99,4,2347.0
50,Half-Life: Opposing Force,4.99,53,23011.0
60,Ricochet,4.99,3,4394.0
70,Half-Life,9.99,445,107789.0
80,Counter-Strike: Condition Zero,9.99,351,20233.0
92,Codename Gordon,,287,
100,Counter-Strike: Condition Zero Deleted Scenes,9.99,53,20233.0
130,Half-Life: Blue Shift,4.99,26,16967.0
150,Counter-Strike Steamworks Beta,,0,
219,Half-Life 2: Demo,,12,
220,Half-Life 2,9.99,1247,185989.0
240,Counter-Strike: Source,9.99,49570,129134.0
280,Half-Life: Source,9.99,9,14208.0
300,Day of Defeat: Source,9.99,166,15488.0
320,Half-Life 2: Deathmatch,,146,9758.0
340,Half-Life 2: Lost Coast,,0,10626.0
360,Half-Life Deathmatch: Source,9.99,32,4047.0
380,Half-Life 2: Episode One,,9,26119.0
400,Portal,9.99,317,159119.0
410,Portal: First Slice,,5,
420,Half-Life 2: Episode Two,,18,34085.0
440,Team Fortress 2,,49327,44264.0
500,Left 4 Dead,9.99,344,54194.0
550,Left 4 Dead 2,9.99,16323,759069.0
570,Dota 2,,589466,14361.0
620,Portal 2,9.99,1134,369624.0
630,Alien Swarm,,11,299.0
659,Portal 2 - Pre-order,9.99,0,369627.0
660,Portal 2 Sixense MotionPack,,0,
730,Counter-Strike 2,,1090885,4718100.0
753,Steam,,347,
1002,Rag Doll Kung Fu,0.99,0,
1003,Rag Doll Kung Fu Demo,,0,
1200,Red Orchestra: Ostfront 41-45,4.99,2,1474.0
1230,Mare Nostrum,,0,124.0
1250,Killing Floor,19.99,201,39165.0
2910,Fleet Command,9.99,7,446.0
